"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
15,"1","2026-02-13T18:30:32.663939Z",1,3.294,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-13T18:30:32.664027Z"
2,"1","2026-02-13T18:23:03.095185Z",2,4.757,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-13T18:23:03.095233Z"
1,"1","2026-02-13T18:22:53.463052Z",3,7.727,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-13T18:22:53.463093Z"
16,"1","2026-02-13T18:30:40.933067Z",4,18.874000000000002,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-13T18:30:40.933114Z"
17,"1","2026-02-13T18:30:48.394176Z",5,5.464,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-13T18:30:48.394218Z"
18,"1","2026-02-13T18:30:52.519445Z",6,2.379,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-13T18:30:52.519492Z"
19,"1","2026-02-13T18:30:56.882087Z",7,2.756,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-13T18:30:56.882151Z"
20,"1","2026-02-13T18:31:05.641090Z",8,6.171,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-13T18:31:05.641134Z"
21,"1","2026-02-13T18:31:13.986874Z",9,6.803,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-13T18:31:13.986917Z"
22,"1","2026-02-13T18:31:18.616691Z",10,3.028,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-13T18:31:18.616725Z"
23,"1","2026-02-13T18:31:23.204228Z",11,2.976,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-13T18:31:23.204286Z"
24,"1","2026-02-13T18:31:32.210484Z",12,7.288,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-13T18:31:32.210528Z"
25,"1","2026-02-13T18:31:39.199175Z",13,5.14,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-13T18:31:39.199216Z"
26,"1","2026-02-13T18:31:54.882632Z",14,10.876,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-13T18:31:54.882673Z"
27,"1","2026-02-13T18:31:59.306144Z",15,2.737,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-13T18:31:59.306205Z"
28,"1","2026-02-13T18:32:03.721730Z",16,2.773,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-13T18:32:03.721794Z"
29,"1","2026-02-13T18:32:07.018916Z",17,1.501,"Total garbage. Zero stars if I could give it.","Negative","2026-02-13T18:32:07.018962Z"
30,"1","2026-02-13T18:32:12.628295Z",18,3.064,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-13T18:32:12.628339Z"
31,"1","2026-02-13T18:32:21.675609Z",19,7.483,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-13T18:32:21.675654Z"
32,"1","2026-02-13T18:32:25.830834Z",20,2.536,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-13T18:32:25.830877Z"
33,"1","2026-02-13T18:32:29.629482Z",21,2.126,"I have mixed feelings about this one. You won't remember it a week from now.","Neutral","2026-02-13T18:32:29.629528Z"
34,"1","2026-02-13T18:32:33.930350Z",22,2.683,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-13T18:32:33.930393Z"
35,"1","2026-02-13T18:32:39.635480Z",23,3.928,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-13T18:32:39.635525Z"
36,"1","2026-02-13T18:32:45.024574Z",24,3.848,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-13T18:32:45.024613Z"
37,"1","2026-02-13T18:32:48.833715Z",25,2.23,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-13T18:32:48.833776Z"
38,"1","2026-02-13T18:32:52.023208Z",26,1.573,"I have never been so bored in my life. Utterly disappointing.","Negative","2026-02-13T18:32:52.023261Z"
39,"1","2026-02-13T18:32:55.104711Z",27,1.269,"A refreshing take on a tired genre. Don't miss this one.","Positive","2026-02-13T18:32:55.104760Z"
40,"1","2026-02-13T18:32:59.930055Z",28,2.676,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","Neutral","2026-02-13T18:32:59.930118Z"
41,"1","2026-02-13T18:33:03.060018Z",29,1.47,"What a complete waste of potential. It’s a hard pass from me.","Negative","2026-02-13T18:33:03.060066Z"
42,"1","2026-02-13T18:33:09.888344Z",30,3.287,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","Neutral","2026-02-13T18:33:09.888415Z"
43,"1","2026-02-13T18:33:16.344162Z",31,3.999,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","Neutral","2026-02-13T18:33:16.344200Z"
44,"1","2026-02-13T18:33:21.520208Z",32,3.682,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","Neutral","2026-02-13T18:33:21.520273Z"
45,"1","2026-02-13T18:33:26.146502Z",33,2.992,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","Neutral","2026-02-13T18:33:26.146549Z"
46,"1","2026-02-13T18:33:31.096914Z",34,3.372,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","Negative","2026-02-13T18:33:31.096973Z"
47,"1","2026-02-13T18:33:36.487269Z",35,3.887,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","Neutral","2026-02-13T18:33:36.487312Z"
48,"1","2026-02-13T18:33:43.413200Z",36,5.318,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","Positive","2026-02-13T18:33:43.413241Z"
49,"1","2026-02-13T18:33:46.828694Z",37,2.068,"It perfectly balances humor and drama. This movie is a triumph in every sense.","Positive","2026-02-13T18:33:46.828762Z"
50,"1","2026-02-13T18:33:49.697846Z",38,1.194,"A frustrating experience. Avoid this at all costs.","Negative","2026-02-13T18:33:49.697895Z"
51,"1","2026-02-13T18:33:54.352729Z",39,2.625,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","Neutral","2026-02-13T18:33:54.352797Z"
52,"1","2026-02-13T18:33:57.653580Z",40,1.552,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","Positive","2026-02-13T18:33:57.653627Z"
53,"1","2026-02-13T18:34:02.500597Z",41,3.13,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","Positive","2026-02-13T18:34:02.500659Z"
54,"1","2026-02-13T18:34:08.706219Z",42,3.909,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","Positive","2026-02-13T18:34:08.706312Z"
55,"1","2026-02-13T18:34:15.024609Z",43,4.645,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","Neutral","2026-02-13T18:34:15.024656Z"
56,"1","2026-02-13T18:34:20.061251Z",44,3.505,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","Neutral","2026-02-13T18:34:20.061370Z"
57,"1","2026-02-13T18:34:24.016401Z",45,2.477,"I am confused about how I feel. A polarizing experience for sure.","Neutral","2026-02-13T18:34:24.016442Z"
58,"1","2026-02-13T18:34:28.021178Z",46,2.422,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","Negative","2026-02-13T18:34:28.021215Z"
59,"1","2026-02-13T18:34:34.834596Z",47,5.064,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","Neutral","2026-02-13T18:34:34.834651Z"
60,"1","2026-02-13T18:34:42.217318Z",48,2.015,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","Positive","2026-02-13T18:34:42.217360Z"
61,"1","2026-02-13T18:34:47.681871Z",49,3.541,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","Negative","2026-02-13T18:34:47.681912Z"
62,"1","2026-02-13T18:34:52.208264Z",50,2.954,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","Neutral","2026-02-13T18:34:52.208332Z"
