"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-10T10:19:58.554065Z",1,118.634,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-10T10:19:58.554065Z"
2,"1","2026-02-10T10:20:17.177902Z",2,17.691,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-10T10:20:17.177902Z"
3,"1","2026-02-10T10:21:26.790832Z",3,68.824,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-10T10:21:26.790832Z"
4,"1","2026-02-10T10:22:13.697958Z",4,45.822,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-10T10:22:13.697958Z"
5,"1","2026-02-10T10:22:21.603770Z",5,6.694,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-10T10:22:21.603770Z"
6,"1","2026-02-10T10:22:26.864695Z",6,4.35,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-10T10:22:26.864695Z"
7,"1","2026-02-10T10:22:32.903167Z",7,4.858,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-10T10:22:32.903167Z"
8,"1","2026-02-10T10:22:37.772816Z",8,4.093,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-10T10:22:37.772816Z"
9,"1","2026-02-10T10:22:48.246175Z",9,9.626,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-10T10:22:48.246175Z"
10,"1","2026-02-10T10:22:54.087289Z",10,4.557,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-10T10:22:54.088084Z"
11,"1","2026-02-10T10:23:00.518960Z",11,5.607,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-10T10:23:00.518960Z"
12,"1","2026-02-10T10:23:07.197547Z",12,5.911,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-10T10:23:07.197547Z"
13,"1","2026-02-10T10:23:20.201887Z",13,12.166,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-10T10:23:20.201887Z"
14,"1","2026-02-10T10:23:24.574563Z",14,3.626,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-10T10:23:24.574563Z"
15,"1","2026-02-10T10:23:30.340897Z",15,4.534,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-10T10:23:30.340897Z"
16,"1","2026-02-10T10:23:43.037100Z",16,11.833,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-10T10:23:43.037100Z"
17,"1","2026-02-10T10:23:46.355333Z",17,2.395,"Total garbage. Zero stars if I could give it.","Negative","2026-02-10T10:23:46.355333Z"
18,"1","2026-02-10T10:23:52.417871Z",18,4.888,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-10T10:23:52.417871Z"
19,"1","2026-02-10T10:24:02.722260Z",19,9.212,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-10T10:24:02.722260Z"
20,"1","2026-02-10T10:24:07.089471Z",20,3.614,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-10T10:24:07.089471Z"
21,"1","2026-02-10T10:28:09.864035Z",21,241.558,"I have mixed feelings about this one. You won't remember it a week from now.","Neutral","2026-02-10T10:28:09.864035Z"
22,"1","2026-02-10T10:28:15.720973Z",22,5.037,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-10T10:28:15.720973Z"
23,"1","2026-02-10T10:28:22.593236Z",23,6.147,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-10T10:28:22.593236Z"
24,"1","2026-02-10T10:28:26.578122Z",24,3.297,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-10T10:28:26.578122Z"
25,"1","2026-02-10T10:28:29.847855Z",25,2.546,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-10T10:28:29.847855Z"
26,"1","2026-02-10T10:28:33.511775Z",26,2.891,"I have never been so bored in my life. Utterly disappointing.","Negative","2026-02-10T10:28:33.511775Z"
27,"1","2026-02-10T10:28:37.643068Z",27,3.47,"A refreshing take on a tired genre. Don't miss this one.","Positive","2026-02-10T10:28:37.643068Z"
