"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-15T12:12:42.839596Z",1,10.499,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-15T12:12:42.839627Z"
2,"1","2026-02-15T12:12:53.212571Z",2,9.984,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-15T12:12:53.212601Z"
3,"1","2026-02-15T12:13:01.934518Z",3,8.374,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-15T12:13:01.934551Z"
4,"1","2026-02-15T12:13:11.618834Z",4,9.343,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-15T12:13:11.618863Z"
5,"1","2026-02-15T12:13:22.084662Z",5,10.078,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-15T12:13:22.084692Z"
6,"1","2026-02-15T12:13:28.401251Z",6,5.971,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-15T12:13:28.401281Z"
103,"1","2026-02-15T12:30:23.756396Z",7,17.501,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-15T12:30:23.756438Z"
8,"1","2026-02-15T12:13:53.204994Z",8,9.264,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-15T12:13:53.205025Z"
9,"1","2026-02-15T12:14:01.562623Z",9,8.004,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-15T12:14:01.562651Z"
10,"1","2026-02-15T12:14:18.437934Z",10,16.535,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-15T12:14:18.437962Z"
11,"1","2026-02-15T12:14:34.607829Z",11,15.763,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-15T12:14:34.607865Z"
12,"1","2026-02-15T12:14:53.802371Z",12,18.806,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-15T12:14:53.802401Z"
13,"1","2026-02-15T12:15:04.134951Z",13,9.978,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-15T12:15:04.134979Z"
14,"1","2026-02-15T12:15:13.562134Z",14,9.075,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-15T12:15:13.562164Z"
15,"1","2026-02-15T12:15:19.424781Z",15,5.489,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-15T12:15:19.424811Z"
16,"1","2026-02-15T12:15:26.814558Z",16,7.008,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-15T12:15:26.814587Z"
17,"1","2026-02-15T12:16:07.502541Z",17,40.349,"Total garbage. Zero stars if I could give it.","Negative","2026-02-15T12:16:07.502568Z"
18,"1","2026-02-15T12:16:29.498715Z",18,21.663,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-15T12:16:29.498755Z"
19,"1","2026-02-15T12:16:39.917934Z",19,10.013,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-15T12:16:39.917964Z"
20,"1","2026-02-15T12:16:46.317586Z",20,6.052,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-15T12:16:46.317616Z"
